height,mpluto_bbl,cnstrct_yr,globalid,bin,shape_len,shape_area,office_area,retail_area,residential_area,OBJECTID,street_width_min,street_width_max,posted_speed,betweeness,station_complex_id,ridership_evening,ridership_late_night,ridership_midday,ridership_morning,ridership_night,distance_from_station(ft),idw_aadt_2019,idw_aadt_2020,idw_aadt_2021,idw_atvc_2018,idw_atvc_2019,idw_atvc_2020,idw_aadt_mean,idw_atvc_mean,office_within_450ft,retail_within_450ft,residential_within_450ft,distance_to_park,distance_to_school,food_100,food_400,food_800,food_1000
53.27,1017500025,1930,{434B7F94-6E61-4D74-95C0-42B4D7FEAD30},1054036,0.0,636520502.758,0,1500,4548,101769,40.0,42.0,25,0.0016472684299412164,392,447.756942170224,70.00026735338585,522.2305503473215,421.9253759867596,166.94382815609924,869.0713662857445,12780.679302939865,14039.894119067389,15789.405725777053,115.39654364458688,148.33762129801207,298.4305247394515,14203.32638259477,187.38822989401683,115185,25409,96555,429.9764815422026,529.9701237865298,4,14,49,74
110.0,1010980048,2021,{C0F46604-0C05-48AE-8494-1DA085B0C99B},1090958,0.0,636520502.758,16989,0,0,105591,32.0,34.0,25,0.01014285553466695,162,489.67365606683927,80.55384319204768,498.98516739803097,220.54823219145294,326.71210732445576,3094.9338699284954,11931.615647229926,12074.644877141445,13466.986584400694,156.1844958874745,181.19488549080336,260.6567353496476,12491.082369590687,199.34537224264182,242415,1750,1780,319.99401484671347,934.897891135934,0,16,103,174
57.41,1015800001,1910,{431EF62D-84CA-41A6-8B81-560E0724DFEA},1051178,0.0,636520502.758,0,1200,7775,118239,30.0,30.0,25,0.003489704041130558,476,503.34856880900026,33.5565493056571,542.5266392126234,490.4496307643567,179.7611910143848,1703.433329417706,13990.88325703929,14886.705598359506,16811.358159665055,125.74606713847004,169.8672075307581,261.5819805025801,15229.649005021283,185.73175172393607,8350,7900,831964,739.4404526078355,1305.3002447564088,2,17,126,172
60.11,1008920006,1869,{343D9DD9-2094-44FC-B71E-2CADA2B639F4},1018938,0.0,636520502.758,8027,0,0,101041,20.0,20.0,25,0.005423058485139022,403,666.5195160828093,54.49875373286237,589.0122734086632,290.29601249862975,248.61718603316524,1005.4087239675532,11975.722666381944,12008.111935818786,13317.69857972233,130.94701414173213,184.92759911764867,263.14609786691494,12433.844393974354,193.00690370876524,80091,2600,621274,186.46662410235902,713.8668779721171,0,88,418,633
67.11,1003890032,1907,{B90FE387-0ECC-4A52-8785-FADF2C643CB6},1004687,0.0,636520502.758,0,4000,17620,94081,44.0,45.0,20,0.048029023175222,119,573.6970610200848,86.05892825189177,575.9585587416376,354.75052665599355,336.01256560402453,2578.3456060383014,7831.768593575359,7811.050439794028,8784.55176358572,109.85268813061121,123.51315830579995,343.24941170426865,8142.456932318368,192.20508604689326,0,36126,219424,165.22258796273127,663.9783663718065,3,33,205,367
48.48,1007680002,1920,{0D4C918C-DF1F-476D-9AF4-D8032340F1CD},1013864,0.0,636520502.758,0,1100,3300,97449,32.0,34.0,25,0.005593226832164885,618,1329.513724791594,169.79365070291507,1024.5460268281013,281.10539820138035,653.0838808998413,643.1616923931193,10279.521857349982,10045.096576695329,11224.564800747803,133.7739503744008,163.40796920236795,287.34814428073184,10516.394411597705,194.8433546191669,165182,73023,314508,379.627648535721,150.0044796287406,11,73,207,321
75.93,1005370001,1909,{68A09D93-DC79-4E53-B0D8-69174575436F},1077838,0.0,636520502.758,0,5175,39074,113092,36.0,38.0,25,0.0025261806831772702,167,1039.1933462465715,246.5333768146168,817.8908353942295,318.0253074199023,843.7340479378781,1326.1276640233482,6434.648373476097,6525.84383627632,7342.403942370151,121.1573343269712,144.13976947132315,318.26859859262987,6767.6320507075225,194.52190079697473,10419,77660,390333,156.13717247282312,1873.0694341205203,17,133,394,565
35.36,1006360034,1920,{FD92DCEB-D3B7-415E-99DB-5EDA1BABE1EB},1011982,0.0,636520502.758,6181,1225,0,92133,24.0,24.0,25,0.00618418365858639,323,272.02858287712195,83.75905145410314,266.12425960357245,130.30770172578661,222.06077937184878,1761.3582198563317,10127.934580582007,10333.72867992743,11616.033981126044,117.75552162889117,159.9040502001319,307.64099036447317,10692.565747211826,195.1001873978321,11865,3125,6215,1156.9421724282968,829.3321337287192,2,26,204,291
151.48,1012227501,1926,{3588B6FA-86CC-4DE0-BC29-4F5C4CD7735E},1032491,0.0,636520502.758,0,9807,139980,117421,30.0,30.0,25,0.005806231908734888,310,702.9930608856685,59.65980497086622,862.694215871651,586.7970181236687,263.97195439913554,1020.8880769786315,14447.650535295632,14483.520419298085,16288.058671073582,114.03627309546691,150.00807076392894,262.87608938546464,15073.0765418891,175.6401444149535,3932,17007,353227,358.6135003913048,311.96745350643624,1,27,73,103
60.73,1003440168,1920,{6CE13684-EEFF-4A5A-B03D-D0EBAE9D4722},1004120,0.0,636520502.758,0,500,9415,98291,24.0,26.0,25,0.0004047541693740524,625,657.3366392544405,172.03501525053,693.3123224456098,368.7026670577725,456.63111655465457,849.9836433077385,7805.354466853067,8049.102179791373,9038.690303496422,101.85574682600736,128.5759492914172,354.4054413559077,8297.715650046954,194.94571249111075,0,39859,197572,0.0,134.23574503859902,12,100,264,425
