name,place_id,price_level,rating,user_ratings_total,business_status,adr_address,formatted_address,lat,lng,bin,distance
Bacaro,ChIJ1bOSqylawokRw1zMPdY1HLg,2.0,4.4,334,OPERATIONAL,,"136 Division St, New York, NY 10002",40.7145423,-73.99156529999999,1003805,0.0
Golden Diner,ChIJ1-mW-LhbwokR7Ryv5ha-gzc,1.0,4.5,1170,OPERATIONAL,,"123 Madison St, New York, NY 10002",40.7124385,-73.99410759999999,1003285,0.0
noodlelove,ChIJiXD_SgdZwokRNoX6B7g1ZqA,2.0,4.4,384,OPERATIONAL,,"192 Mott St, New York, NY 10012",40.7209866,-73.9956102,1007158,0.0
BETTY,ChIJ6TM6XsxbwokRTNklb777efQ,,4.5,102,OPERATIONAL,,"193 Henry St, New York, NY 10002",40.7137608,-73.98784669999999,1003688,0.0
Golden Forest,ChIJlS89V4dZwokRazYs0bapTw0,1.0,4.0,209,OPERATIONAL,,"4628 353 Grand St, New York, NY 10002",40.7167143,-73.98944949999999,1004033,0.28164882549371106
Sauce Restaurant,ChIJyz4qsYZZwokRr3PKHw0CzaE,2.0,4.2,1075,OPERATIONAL,,"78 Rivington St, New York, NY 10002",40.7204716,-73.9893263,1005536,0.0
218 Restaurant,ChIJY6y3bohZwokR0wAvTPRvLAM,1.0,4.2,168,OPERATIONAL,,"218 Grand St, New York, NY 10013",40.7189759,-73.9957326,1006933,0.0
Clinton St. Baking Company,ChIJ4Q2rG4JZwokR8TVjhflNfMk,2.0,4.4,5102,OPERATIONAL,,"4 Clinton St, New York, NY 10002",40.721264,-73.9838497,1004265,0.0
The Tuck Room,ChIJ7epq4zxawokRADBrW_zuoMg,,4.0,449,OPERATIONAL,,"11 Fulton St, New York, NY 10038",40.7066295,-74.0031405,1001318,0.0
Jajaja Mexicana,ChIJp0gKoClawokR0txqrcaEkFc,2.0,4.6,1942,OPERATIONAL,,"162 E Broadway, New York, NY 10002",40.7142153,-73.9903781,1003598,0.0
Puglia,ChIJfencLIhZwokRWDV5hTpFU74,2.0,4.3,1278,OPERATIONAL,,"189 Hester St, New York, NY 10013",40.7181561,-73.9976527,1003097,0.0
Phở Grand,ChIJVX1wkYdZwokRXMv8q8WVUDk,1.0,4.1,853,OPERATIONAL,,"277C Grand St, New York, NY 10002",40.7176857,-73.9927822,1003959,0.0
