,RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
9973676,17353,Queens,2014,6,19,14,45,69,56583,POINT (1034401.4 198311.8),MAIN ST,MANTON ST,139 ST,NB
18905505,25224,Manhattan,2017,1,28,1,30,387,34060,POINT (988559.2594440072 214119.89229313468),AVENUE OF THE AMERICAS,6 Avenue Line,42 Street Shuttle Line,NB
1451501,2940,Queens,2010,4,24,20,15,65,83739,POINT (1025135.2 213356),S/B 114 ST @ 41 AVE,ROOSEVELT AV,41 AV,SB
4962135,11243,Brooklyn,2012,12,5,20,15,12,25320,POINT (992245.6 158137.8),E 1 ST,AV T,AV S,NB
15026058,21113,Bronx,2015,9,19,18,45,92,87818,POINT (1022680.9354104059 254647.52542746117),ALLERTON AVENUE,Bronxwood Avenue,Radcliff Avenue,WB
8456108,15798,Brooklyn,2013,10,17,22,0,20,127061,POINT (980686.8 160756.6),BATH AV,15 AV,BAY 10 ST,WB
17037477,22671,Brooklyn,2016,4,27,3,0,10,105839,POINT (987370.6372851971 184899.67352363424),3 AVENUE,3 Street,Dead end,SB
25806022,31368,Bronx,2019,11,16,8,30,26,145838,POINT (1007380.3618564528 243104.50499211135),EAST 167 STREET,Dead End,Dead end,EB
163765,1254,Queens,2011,6,18,1,45,1,131531,POINT (1034510.4 203500.3),147 ST,75 AVE,73 AV,NB
1112777,2631,Queens,2011,3,21,4,15,0,117626,POINT (1057869.2 220710),W/B NORTHERN BLVD @ MORGAN ST,MORGAN ST,GLENWOOD ST,WB
15806057,21150,Brooklyn,2016,1,11,15,45,212,40665,POINT (1000486.8 167720.3),FLATBUSH AV,AV J,BROOKLYN AV,NB
16068514,21147,Manhattan,2016,1,8,9,15,121,158733,POINT (999140.2 242429),BROADWAY,W 153 ST,W 155 ST,NB
21387806,27336,Queens,2017,11,29,0,30,6,113908,POINT (1028123.4466531897 217562.93773494716),MARINA ROAD,Grand Central Py Wb En Van Wyck,Harper Street,WB
24042621,29461,Manhattan,2019,1,12,18,30,79,127609,POINT (991651.7446566193 212624.15878857102),EAST 42 STREET,Alley,2 Avenue,WB
991074,2479,Bronx,2010,1,13,7,0,91,86536,POINT (1025870.4 240179.6),N/B CASTLE HILL AVE @ QUIMBY AVE,STORY AV,QUIMBY AV,NB
20482698,26807,Queens,2017,9,14,1,30,4,67550,POINT (1003160.5906186143 214529.93545751763),30 STREET,36 Avenue,37 Avenue,SB
1190051,2704,Bronx,2010,5,1,17,30,245,77847,POINT (1016072.6 238973.5),W/B BRUCKNER BLVD OUTER @ EDGEWATER RD,EDGEWATER RD,HP MARKET RR SPUR,WB
16557217,23056,Bronx,2016,3,14,12,45,127,87115,POINT (1028124.4609612479 249021.64733853372),MARCONI STREET,Dead End,Dead end,NB
22439379,27951,Bronx,2018,3,31,9,15,22,77604,POINT (1014852.7140761126 236785.7239161364),LAFAYETTE AVENUE,Barretto Street,Manida Street,WB
1307013,2792,Brooklyn,2010,8,1,18,15,23,35652,POINT (999504.6 203624.9),W/B NASSAU AVE @ HUMBOLDT ST,HUMBOLDT ST,RUSSELL ST,WB
13889637,19316,Brooklyn,2015,4,26,9,15,38,22652,POINT (987495.1184701315 186821.05107466818),UNION ST BRIDGE,Gowanus Canal Shoreline,Gowanus Canal Shoreline,EB
24432131,30185,Brooklyn,2019,3,12,22,15,4,128054,POINT (1004640.6361225944 161490.90238238574),KIMBALL STREET,Alley,Avenue T,NB
3637027,9966,Staten Island,2012,4,17,10,0,277,152335,POINT (952415.1 145359.5),HYLAN BLVD,TYSENS LA,EBBITTS ST,NB
23227526,29060,Manhattan,2018,10,17,20,45,58,237001,POINT (983415.2827304859 213291.17110564065),WEST 29 STREET,High Line,11 Avenue,WB
5907744,12317,Manhattan,2009,11,3,9,45,111,22992,POINT (980322.7 195293.2),STATE STREET,UNNAMED ST/BATTERY PARK GREENWAY,PEARL ST,SB
23291035,29317,Brooklyn,2018,11,1,2,30,21,157593,POINT (987903.8908400432 152064.29963375654),CROPSEY AVENUE,Belt Parkway,Belt Pkwy Eb En Cropsey Ave Nb,SB
22458372,27688,Brooklyn,2018,3,11,12,0,180,22825,POINT (988543.8411211937 189499.53641620884),ATLANTIC AVENUE,Nevins Street,Bond Street,WB
20675860,26799,Brooklyn,2017,5,13,10,45,249,9009362,POINT (984599.217812904 183946.81854600026),HAMILTON AVENUE BRIDGE,Gowanus Creek Shoreline,Dead end,SB
14378081,21450,Queens,2015,9,1,17,30,282,68739,POINT (1006625.7005761723 220623.71007818868),HOYT AVENUE NORTH,28 Street,27 Street,WB
3140949,9588,Brooklyn,2011,2,19,3,15,92,31341,POINT (999908.8 194926.6),BROADWAY BET WHIPPLE & THORNTON STS,WHIPPLE ST,DEBEVOISE ST,EB
20444034,26238,Brooklyn,2017,6,21,21,30,38,39943,POINT (1002503.8394261238 155875.31862627028),AVENUE X,Brigham Street,Bragg Street,EB
11264235,18447,Brooklyn,2014,10,8,9,0,222,27976,POINT (992949.1021107513 172006.23734113536),CONEY ISLAND AVENUE,Dorchester Road,Cortelyou Road,NB
4425956,10544,Bronx,2012,10,28,14,30,110,86819,POINT (1026367.1 246557),SILVER ST,E TREMONT AV,ROSELLE ST,SB
8324375,16458,Bronx,2014,1,18,4,0,16,174165,POINT (1005433.3 246012),PLIMPTON AV,W 170 ST,EDWARD L GRANT HWY,EB
12789595,18049,Queens,2014,11,22,20,45,579,141607,POINT (1012458.9272113007 213747.68422613977),BROOKLYN QUEENS EXPRESSWAY,Bqe Wb Entrance Northern Blvd,34 Avenue,SB
20264316,26093,Manhattan,2017,6,19,23,15,26,23247,POINT (981206.5539984154 199420.65040266464),PARK PLACE,Greenwich Street,Broadway/ 7 Avenue Line,EB
12303119,18054,Queens,2014,10,30,2,45,10,185120,POINT (1029795.8202625568 217239.15000932524),COLLEGE POINT BOULEVARD,Northern Boulevard,Dead end,NB
1071124,2590,Brooklyn,2011,3,18,1,45,8,105839,POINT (987431.6 184995.7),N/B 3RD AVE BRIDGE @ 3RD ST,3 ST,6 ST,NB
1144872,2661,Bronx,2010,12,15,7,0,95,121182,POINT (1028144.9 245719.9),W/B BLONDELL AVE(W LEG)@ WESTCHESTER AV,BLONDELL AV,BLONDELL AV,WB
10765420,17491,Queens,2014,6,23,2,15,19,149185,POINT (1010849.4 209353.6),QUEENS BLVD,61 ST,60 ST,EB
21807488,26516,Bronx,2017,10,29,21,45,19,236204,POINT (1016171.4592009302 259845.19233593566),JEROME AVENUE,Jerome Avenue Line,Jerome Avenue Line,SB
10226260,17657,Manhattan,2014,7,13,0,0,178,37572,POINT (995587.4 223642.5),MADISON AV,E 85 ST,E 86 ST,NB
19617398,25942,Brooklyn,2016,9,16,9,30,26,162064,POINT (985479.2211912754 181022.47667012643),20 STREET,3 Avenue,4 Avenue,EB
9972068,17353,Queens,2014,6,16,20,45,99,151766,POINT (1033998.7 197934.7),QUEENS BLVD,VAN WYCK EP,VAN WYCK EP,EB
5234194,11575,Manhattan,2012,9,30,13,45,404,33848,POINT (986744 216410),9 AV,W 45 ST,W 46 ST,SB
4724380,11445,Queens,2011,5,5,20,15,38,60994,POINT (1046713.9 196066.4),DUNKIRK ST BTWN LIBERTY AVE & ARCADE AVE,ARCADE AV,LIBERTY AV,NB
11671471,18669,Brooklyn,2014,10,26,23,30,12,162249,POINT (989264.425586002 185916.57447177422),UNION STREET,5 Avenue,4 Avenue,WB
11293314,17755,Brooklyn,2014,10,6,15,15,39,43053,POINT (1002031.3 180932.6),LEFFERTS AV,TROY AV,SCHENECTADY AV,EB
7137116,11880,Queens,2013,6,22,23,45,793,142848,POINT (1030278.9 220204.3),WHITESTONE EXWY,LINDEN PL,WHITESTONE EXWY NB EXIT 14,NB
18959582,25148,Brooklyn,2017,2,1,21,15,70,41468,POINT (1007084.9748030225 166642.08402397722),RALPH AVENUE,East 66 Street,Avenue L,SB
1701477,3233,Queens,2009,3,16,19,15,23,55330,POINT (1036136.3 188507.5),S/B 130 ST @ 111 AVE,109 AV,111 AV,SB
16916219,23455,Queens,2016,5,20,1,30,16,149047,POINT (1025746.8374271127 209354.42209318577),111 STREET,Dead end,56 Avenue,NB
20446307,26698,Brooklyn,2017,9,7,22,15,73,28258,POINT (994840.9318585303 177745.1453015613),OCEAN AVENUE,Brighton Line,East Drive,NB
20264559,26093,Manhattan,2017,6,8,12,0,94,244090,POINT (981108.296187801 199217.54023572404),BARCLAY STREET,Broadway/ 7 Avenue Line,Greenwich Street,WB
