bin,year,idw_atvc
1012352,2018,130.17231255159783
1012352,2019,162.20344763251987
1012352,2020,279.518133345223
1079023,2018,107.50421700069042
1079023,2019,130.40323993461078
1079023,2020,351.9632591519337
1086623,2018,125.56067685428732
1086623,2019,157.16373542669595
1086623,2020,331.115137202965
1006093,2018,111.35757026416931
1006093,2019,134.57076819433854
1006093,2020,335.90190964381094
1006000,2018,121.86745282450394
1006000,2019,140.1395788537101
1006000,2020,319.74474175750004
1003956,2018,106.2079635644581
1003956,2019,137.80164990811883
1003956,2020,350.1210140443036
1040149,2018,141.73517987907226
1040149,2019,200.38155251935098
1040149,2020,252.2482659878445
1006426,2018,125.37479028955339
1006426,2019,140.5942976847404
1006426,2020,320.568123310297
1084293,2018,134.7824174818995
1084293,2019,186.11800246049313
1084293,2020,203.67423448963117
1038538,2018,144.00524575138468
1038538,2019,196.05203362618033
1038538,2020,237.77527123404076
1003587,2018,112.46432464120299
1003587,2019,141.7560124536529
1003587,2020,354.7046738510958
1020158,2018,125.65141501713953
1020158,2019,242.89262015666452
1020158,2020,270.5174151161447
1060832,2018,100.39698184901691
1060832,2019,151.36180461957176
1060832,2020,277.9236446471055
1018305,2018,126.44384289406783
1018305,2019,177.9433590858898
1018305,2020,275.1396760297602
1005344,2018,96.86159751353784
1005344,2019,130.3434254845391
1005344,2020,344.42018328781137
1009453,2018,124.74286461899965
1009453,2019,146.74502569445087
1009453,2020,304.1671868705009
1082079,2018,129.69417331210386
1082079,2019,162.7996567052982
1082079,2020,265.88893062189885
1052951,2018,120.78916703869882
1052951,2019,155.56433393150914
1052951,2020,303.9635627857193
1031370,2018,107.49328021531471
1031370,2019,158.51518879463165
1031370,2020,254.03146783275625
1006936,2018,114.84347605314132
1006936,2019,145.7232577871016
1006936,2020,345.73721027092944
1080467,2018,148.6413171089696
1080467,2019,181.58579545801786
1080467,2020,230.9107954816689
1080970,2018,154.32777056810383
1080970,2019,185.3046420599123
1080970,2020,249.79417883906464
1052854,2018,121.44074600591023
1052854,2019,155.94132262748042
1052854,2020,288.6505440765099
1051780,2018,121.1299522300385
1051780,2019,149.5539235141389
1051780,2020,273.55799976369235
1012267,2018,113.11865487055374
1012267,2019,162.29008569748078
1012267,2020,277.3631389708341
1026869,2018,144.07252554249376
1026869,2019,182.26269340863513
1026869,2020,204.7198560465038
1007777,2018,125.22564993144387
1007777,2019,157.7415665773808
1007777,2020,325.1565908300423
1051484,2018,125.11801458863417
1051484,2019,147.86142448898903
1051484,2020,270.38989447190283
1019944,2018,125.37570160755494
1019944,2019,181.05539078312714
1019944,2020,277.9996552746731
1084177,2018,90.86413265442228
1084177,2019,146.12717769509706
1084177,2020,296.8523812649693
1052065,2018,119.301806421124
1052065,2019,151.0876056457719
1052065,2020,282.52842752250706
1015509,2018,133.77911176626353
1015509,2019,156.0536557118264
1015509,2020,287.11208958514436
1064170,2018,129.3995861123702
1064170,2019,158.03639868288317
1064170,2020,313.57150433778537
1037560,2018,131.72896713518023
1037560,2019,191.8030055234371
1037560,2020,254.8332140376093
1076301,2018,145.11808056244408
1076301,2019,178.7884391996118
1076301,2020,240.8054639107713
1005960,2018,123.71716279451311
1005960,2019,137.62757820042154
1005960,2020,322.4828094949845
1042494,2018,148.87220898469363
1042494,2019,173.29182780011513
1042494,2020,232.80687074179426
1002981,2018,115.23850796147444
1002981,2019,157.42198350947308
1002981,2020,340.24152640577955
1003937,2018,109.34454601939126
1003937,2019,140.9564904993112
1003937,2020,349.53989156940054
1034484,2018,143.56101251970276
1034484,2019,201.32622161829588
1034484,2020,235.97935356910332
1052704,2018,123.34046170183008
1052704,2019,154.5519654178862
1052704,2020,280.6458609611088
1081580,2018,104.78657337515496
1081580,2019,141.9302666703858
1081580,2020,273.8759542108763
1081159,2018,136.33976918652596
1081159,2019,195.2067176907127
1081159,2020,247.3009097758444
1084294,2018,147.02477018622653
1084294,2019,175.81386945152926
1084294,2020,235.2933006793196
1051757,2018,121.11266153016352
1051757,2019,149.8043876058904
1051757,2020,272.8873365468989
1052027,2018,119.20358343837425
1052027,2019,150.33780889017797
1052027,2020,281.55036470717806
1062953,2018,105.07124944111382
1062953,2019,129.0025789495703
1062953,2020,334.35743457803903
1051371,2018,128.2031535683754
1051371,2019,166.29410584431858
1051371,2020,267.97871062038405
1015027,2018,129.72866105788026
1015027,2019,159.62195562879907
1015027,2020,277.34587587263036
1076271,2018,155.07095977620352
1076271,2019,195.21840584690813
1076271,2020,221.26193569666333
1014997,2018,131.86397764111433
1014997,2019,162.64043201563385
1014997,2020,278.5695572553326
1005513,2018,99.55548747699122
1005513,2019,132.45964378074098
1005513,2020,342.88940789676855
1079551,2018,116.38124464956915
1079551,2019,151.0413143803826
1079551,2020,349.93904320115314
