bin,year,idw_aadt
1051484,2021,14148.442183240688
1019944,2019,11313.418161420335
1019944,2020,10983.29767442024
1019944,2021,12187.469368602991
1084177,2019,13887.193997587809
1084177,2020,15883.120066036561
1084177,2021,17742.752420332297
1052065,2019,12809.457607176719
1052065,2020,13220.538984584971
1052065,2021,14764.473434275884
1015509,2019,8312.08817688772
1015509,2020,7875.5968148463735
1015509,2021,8792.533532982223
1064170,2019,12558.840854544369
1064170,2020,14560.359110569701
1064170,2021,16307.936478204376
1037560,2019,11855.686938448584
1037560,2020,12114.403456771635
1037560,2021,13510.187465371964
1076301,2019,12478.983528208348
1076301,2020,12453.084910769921
1076301,2021,13967.294399381723
1005960,2019,8540.209873465394
1005960,2020,7805.704346496457
1005960,2021,8718.661481568757
1042494,2019,12982.024223692044
1042494,2020,12500.172014904401
1042494,2021,14009.511211978188
1002981,2019,9859.516926290416
1002981,2020,10120.295074452351
1002981,2021,11333.329753237549
1003937,2019,8688.810950050422
1003937,2020,8770.521385677
1003937,2021,9837.768899185126
1034484,2019,9530.5162960705
1034484,2020,8943.836533610252
1034484,2021,9965.513150808956
1052704,2019,13945.40997827959
1052704,2020,14717.087903278514
1052704,2021,16442.368827161834
1081580,2019,13038.084383952259
1081580,2020,13959.676299362396
1081580,2021,15694.968458279709
1081159,2019,11378.555177782619
1081159,2020,10906.277918354437
1081159,2021,12153.205845351224
1084294,2019,10496.58296973066
1084294,2020,10477.291266460692
1084294,2021,11711.343645445431
1051757,2019,11170.334796244526
1051757,2020,11048.353796500442
1051757,2021,12325.836975829687
1052027,2019,11372.108903115017
1052027,2020,12049.883963862909
1052027,2021,13440.168308512286
1062953,2019,12926.255378168802
1062953,2020,14193.967706886473
1062953,2021,15865.746702901602
1051371,2019,19385.40065498272
1051371,2020,22345.27858679233
1051371,2021,24901.549772487495
1015027,2019,9155.429027033764
1015027,2020,8831.626674770025
1015027,2021,9832.522196016878
1076271,2019,14499.418555464323
1076271,2020,12010.873113216781
1076271,2021,13427.719499721308
1014997,2019,9721.207274248585
1014997,2020,9843.596109909959
1014997,2021,10968.76904745615
1005513,2019,8392.012624860963
1005513,2020,8495.800305913615
1005513,2021,9531.060281662118
1079551,2019,8786.895795800776
1079551,2020,8586.554375460237
1079551,2021,9593.442270837693
1061423,2019,13075.73757887586
1061423,2020,14708.68490351817
1061423,2021,16447.374387214033
1009284,2019,7371.836008766129
1009284,2020,7142.866930347343
1009284,2021,8003.6427310203635
1030507,2019,12157.700099112322
1030507,2020,12795.608993914935
1030507,2021,14430.590732424276
1089243,2019,8246.924755825548
1089243,2020,7925.822695276854
1089243,2021,8928.179886182941
1043514,2019,12957.345608080468
1043514,2020,12418.972470879344
1043514,2021,13908.681233017089
1083601,2019,10234.722523040795
1083601,2020,9993.31915356915
1083601,2021,11147.264630240992
1030841,2019,11967.514871664525
1030841,2020,11700.481247979067
1030841,2021,13112.19708430849
1087864,2019,14989.89989768863
1087864,2020,17212.8656709484
1087864,2021,19142.937280087295
1043845,2019,13318.057878996664
1043845,2020,12315.904226835815
1043845,2021,13789.922874367001
1009720,2019,8384.359616756596
