Yr,WktGeom,street,fromSt,toSt,mean,median
2018,POINT (988012.6664479772 199023.5451721784),MADISON STREET,Clinton Street,Dead end,32.43452380952381,32.0
2018,POINT (988015.4149488579 221257.75452351136),WEST 64 STREET,Dead End,Dead end,13.607886904761905,13.0
2018,POINT (988030.013470201 211910.4862393041),WEST 33 STREET,5 Avenue,Broadway,31.242559523809526,29.0
2018,POINT (988065.2432755505 219749.17414672126),WEST 59 STREET,9 Avenue,10 Avenue,42.504464285714285,44.0
2018,POINT (988112.7359382244 210689.63648354972),EAST 29 STREET,Madison Avenue,5 Avenue,64.77678571428571,70.0
2018,POINT (988142.0595556787 221490.24664136246),WEST 65 STREET,Dead end,Amsterdam Avenue,49.43080357142857,56.0
2018,POINT (988216.5763963191 209748.03154191692),EAST 26 STREET,Madison Avenue,Park Avenue South,65.7046130952381,74.0
2018,POINT (988237.3236767394 205754.82659606347),2 AVENUE,East 12 Street,East 13 Street,259.34185606060606,272.0
2018,POINT (988272.0459703925 202819.9379106692),AVENUE A,Dead End,East 3 Street,64.34598214285714,69.0
2018,POINT (988326.6201509214 199465.21374477484),MONTGOMERY STREET,East Broadway,Dead end,11.0,10.0
2018,POINT (988341.0460488216 220488.66673578552),WEST 62 STREET,Columbus Avenue,Amsterdam Avenue,27.69345238095238,29.0
2018,POINT (988370.0744935105 221199.69814862908),AMSTERDAM AVENUE,West 64 Street,West 65 Street,284.5639880952381,319.0
2018,POINT (988404.3309875295 216045.02684328018),BROADWAY,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,42.79989035087719,42.0
2018,POINT (988406.8004439964 205466.07352361616),EAST 12 STREET,2 Avenue,1 Avenue,34.92857142857143,38.5
2018,POINT (988603.7134886225 210022.01776724786),PARK AVENUE SOUTH,East 27 Street,East 28 Street,179.78787878787878,208.0
2018,POINT (988640.3006713097 210006.30954259005),PARK AVENUE SOUTH,East 27 Street,East 28 Street,176.8181818181818,208.0
2018,POINT (988657.1721841424 219866.67138745682),COLUMBUS AVENUE,West 61 Street,West 60 Street,201.3030303030303,251.0
